S.No,QbId,Ref No (Payment No),Payment Date,Customer,Payment method,Deposit To Account Name,Invoice No,Journal No,QB Journal Id,QB Invoice Id,QB Credit Memo Id,Credit Memo No,Amount,Total,Reference No,Memo,Currency Code,Exchange Rate,REFERENCE_NO,TOTAL,CUSTOMER,QB_INVOICE_ID,ORIG_REFERENCE_NO,ORIG_TOTAL,ORIG_CUSTOMER,ORIG_QB_INVOICE_ID,MATCH_LEVEL,MATCHED_CRB_INDEX,MATCH_TYPE
2543,424126,,2024-05-24,LOWER BECERRIL W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,500.0,500.0,32676,,PHP,,32676,500.0,LOWER BECERRIL W.R.S.,,32676,500.0,LOWER BECERRIL W.R.S.,,,,
2544,424200,,2024-05-22,LNB W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,500.0,500.0,32739,,PHP,,32739,500.0,LNB W.R.S.,,32739,500.0,LNB W.R.S.,,,,
2545,424204,,2024-05-22,VITA PURE W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,500.0,500.0,32743,,PHP,,32743,500.0,VITA PURE W.R.S.,,32743,500.0,VITA PURE W.R.S.,,,,
2546,424211,,2024-05-22,JEM DROPS W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,500.0,500.0,32748,,PHP,,32748,500.0,JEM DROPS W.R.S.,,32748,500.0,JEM DROPS W.R.S.,,,,
2547,424283,,2024-05-20,TITA B W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,400.0,400.0,32794,,PHP,,32794,400.0,TITA B W.R.S.,,32794,400.0,TITA B W.R.S.,,,,
2548,424279,,2024-05-20,TITA B WRS,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36894,,,151422.0,,,800.0,800.0,32794 32791,,PHP,,32794 32791,800.0,TITA B WRS,151422,32794 32791,800.0,TITA B WRS,151422.0,,,
2549,424314,,2024-05-20,CPH CARCAR CITY HEMODIALYSIS CENTER,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36906,,,151451.0,,,700.0,700.0,32814,,PHP,,32814,700.0,CPH CARCAR CITY HEMODIALYSIS CENTER,151451,32814,700.0,CPH CARCAR CITY HEMODIALYSIS CENTER,151451.0,,,
2550,424313,,2024-05-20,CPH CARCAR CITY HEMODIALYSIS CENTER,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36231,,,149415.0,,,2100.0,2100.0,32813,,PHP,,32813,2100.0,CPH CARCAR CITY HEMODIALYSIS CENTER,149415,32813,2100.0,CPH CARCAR CITY HEMODIALYSIS CENTER,149415.0,,,
2551,424358,,2024-05-22,MARRITZ W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,400.0,400.0,32848,,PHP,,32848,400.0,MARRITZ W.R.S.,,32848,400.0,MARRITZ W.R.S.,,,,
2552,424406,,2024-05-23,GOLDEN HAN TRADING,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,3700.0,3700.0,32881,,PHP,,32881,3700.0,GOLDEN HAN TRADING,,32881,3700.0,GOLDEN HAN TRADING,,,,
2553,424407,,2024-05-23,BUSAN KOREAN RESTAURANT,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,400.0,400.0,32882,,PHP,,32882,400.0,BUSAN KOREAN RESTAURANT,,32882,400.0,BUSAN KOREAN RESTAURANT,,,,
2554,424455,,2024-05-23,FELLA WATER PURIFICATION SERVICES,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,3500.0,3500.0,32925,,PHP,,32925,3500.0,FELLA WATER PURIFICATION SERVICES,,32925,3500.0,FELLA WATER PURIFICATION SERVICES,,,,
2555,424453,,2024-05-23,BRWSAI,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,450.0,450.0,32922,,PHP,,32922,450.0,BRWSAI,,32922,450.0,BRWSAI,,,,
2556,424468,,2024-05-23,KRISTAL MOUNTAIN WRS,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,450.0,450.0,32932,,PHP,,32932,450.0,KRISTAL MOUNTAIN WRS,,32932,450.0,KRISTAL MOUNTAIN WRS,,,,
2557,424508,,2024-05-23,NEGRA MOUNTAIN RESORT,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,1400.0,1400.0,32966,,PHP,,32966,1400.0,NEGRA MOUNTAIN RESORT,,32966,1400.0,NEGRA MOUNTAIN RESORT,,,,
2558,424510,,2024-05-23,BORBONS BAKERY,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,700.0,700.0,32967,,PHP,,32967,700.0,BORBONS BAKERY,,32967,700.0,BORBONS BAKERY,,,,
