MATCH_LEVEL,MATCH_TYPE,CRB_NO,CRB_CLIENT_NAME,CRB_TOTAL_AMOUNT,CRB_SI_NO,CRB_DATE,SAASANT_REFERENCE_NO,SAASANT_CUSTOMER,SAASANT_TOTAL,SAASANT_QB_INVOICE_ID,SAASANT_QbId,SAASANT_Ref No (Payment No),SAASANT_Payment Date,SAASANT_Customer,SAASANT_Payment method,SAASANT_Deposit To Account Name,SAASANT_Invoice No,SAASANT_Journal No,SAASANT_QB Journal Id,SAASANT_QB Invoice Id,SAASANT_QB Credit Memo Id,SAASANT_Credit Memo No,SAASANT_Amount,SAASANT_Total,SAASANT_Reference No,SAASANT_Memo,SAASANT_Currency Code,SAASANT_Exchange Rate
1,Reference No,4039,AQUAMARYANE WATER STATION,700.0,374218.0,2024-05-29,4039,AQUAMARYANE WATER STATION,400.0,321504,335653,,2024-05-29,AQUAMARYANE WATER STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374218,,,321504.0,,,400.0,400.0,4039,,PHP,
1,Reference No,4045,HADASA JEL WRS,700.0,374224.0,2024-05-29,4045,HADASA JEL WRS,400.0,321511,335659,,2024-05-29,HADASA JEL WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374224,,,321511.0,,,400.0,400.0,4045,,PHP,
1,Reference No,4049,KEVIN CLEAN WRS,700.0,374228.0,2024-05-29,4049,KEVIN CLEAN WRS,400.0,321515,335673,,2024-05-29,KEVIN CLEAN WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374228,,,321515.0,,,400.0,400.0,4049,,PHP,
1,Reference No,4048,LINAWAN WRS,700.0,374227.0,2024-05-29,4048,LINAWAN WRS,400.0,321514,335672,,2024-05-29,LINAWAN WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374227,,,321514.0,,,400.0,400.0,4048,,PHP,
1,Reference No,4047,TALAMISAN WRS,700.0,374226.0,2024-05-29,4047,TALAMISAN WRS,400.0,321513,335671,,2024-05-29,TALAMISAN WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374226,,,321513.0,,,400.0,400.0,4047,,PHP,
1,Reference No,4046,PAG-AVAD WRS,700.0,374225.0,2024-05-29,4046,PAG-AVAD WRS,400.0,321512,335670,,2024-05-29,PAG-AVAD WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374225,,,321512.0,,,400.0,400.0,4046,,PHP,
1,Reference No,4050,ROVILLOS WATER VAULT,700.0,374229.0,2024-05-29,4050,ROVILLOS WATER VAULT,400.0,321517,335674,,2024-05-29,ROVILLOS WATER VAULT,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374229,,,321517.0,,,400.0,400.0,4050,,PHP,
1,Reference No,4335,SABLAYAN WRS,700.0,374141.0,2024-05-29,4335,SABLAYAN WRS,400.0,319165,335736,,2024-05-29,SABLAYAN WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374141,,,319165.0,,,400.0,400.0,4335,,PHP,
1,Reference No,4334,EASTERN WRS,700.0,374140.0,2024-05-29,4334,EASTERN WRS,400.0,319164,335734,,2024-05-29,EASTERN WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374140,,,319164.0,,,400.0,400.0,4334,,PHP,
1,Reference No,4333,AQUA SOFHIA,700.0,374139.0,2024-05-29,4333,AQUA SOFHIA,400.0,319163,335733,,2024-05-29,AQUA SOFHIA,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374139,,,319163.0,,,400.0,400.0,4333,,PHP,
